Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
KBradJStorm,205,7608,USA,PSN,Cammy,73,100,2,80,5,73,15,75,12,70,10,100,8,66,18,77,9,57,19,84,19,58,12,80,15,81,16,57,14,83,6,80,20,60,5
AT-Shadow,623,9034,JPN,PSN,Laura,80,85,21,68,16,90,30,62,40,80,30,69,39,78,41,78,14,82,80,86,58,91,47,74,47,78,42,65,20,74,27,90,64,100,7
BksOnlyHope,646,6840,USA,PSN,Birdie,71,90,10,77,49,82,39,56,25,61,36,63,44,79,49,61,26,75,64,65,38,70,50,71,56,62,40,74,27,76,26,81,53,64,14
Mignon_Evans,259,7755,FRA,PSN,Karin,83,100,4,44,18,90,20,100,9,100,5,85,7,73,34,100,5,100,16,85,14,87,16,77,18,95,24,83,12,85,14,82,39,75,4
FlyGamer,306,8383,USA,PSN,Chun Li,85,0,0,76,17,89,19,100,16,94,19,88,9,83,24,62,8,85,27,84,19,88,17,87,33,64,17,95,20,88,9,84,44,100,8
Fight_Fever,129,7347,USA,PSN,Birdie,83,85,7,70,10,100,8,100,3,100,2,50,4,68,16,100,3,72,11,100,10,100,3,84,13,100,6,87,8,100,4,76,17,100,4
BombitoPR,577,7626,USA,PSN,Birdie,82,66,3,88,26,83,31,66,27,92,26,84,26,85,54,80,21,84,57,83,31,80,47,78,52,91,46,81,44,78,19,85,47,65,20
Riggs760,171,7562,USA,PSN,Dictator,84,66,6,76,13,86,15,63,11,85,7,100,10,100,3,100,6,87,8,85,7,83,12,100,11,57,7,80,10,80,5,85,27,100,6
Oboro-bento,512,7564,JPN,PSN,Nash,81,0,0,85,20,78,47,65,32,60,15,68,16,84,25,77,9,91,47,80,40,87,31,72,47,82,40,88,26,86,37,85,60,94,19
sean2dgod,497,7496,ITA,STEAM,Rashid,79,81,11,77,18,80,21,61,26,69,13,90,10,67,40,78,14,86,50,76,46,88,27,77,48,70,37,82,23,76,17,93,73,76,21
bluebirddx,289,8401,JPN,PSN,Dictator,84,83,6,70,10,80,26,75,16,83,6,80,5,92,14,50,4,86,30,86,30,62,16,88,26,95,21,78,19,90,11,95,42,80,5
fstan9999,176,7758,BRA,PSN,Cammy,86,91,12,85,14,87,8,100,5,75,4,100,4,100,5,66,3,90,11,93,15,80,10,87,16,57,19,100,12,100,3,88,25,100,10
J-BOOWY,423,8767,JPN,PSN,Laura,77,75,20,58,12,54,11,62,24,92,14,66,18,81,22,84,13,83,31,84,33,82,35,76,46,71,28,84,32,60,23,82,52,88,9
sawasama,455,8223,JPN,PSN,Nash,69,100,5,50,18,65,32,63,41,53,32,76,13,48,25,64,14,59,27,93,32,61,21,67,49,70,30,77,22,65,20,81,53,95,20
One-punch-man,658,7635,ALB,PSN,Fang,80,100,11,67,28,74,43,77,31,87,24,64,17,76,72,75,8,81,61,85,55,75,20,85,75,69,33,80,21,88,25,81,110,82,23
GiefKid,134,7967,USA,PSN,Zangief,79,71,14,80,5,60,5,83,6,100,6,85,7,75,16,0,0,87,8,60,5,100,3,92,13,71,14,44,9,50,2,94,18,100,3
CastBlanka,220,7512,MEX,STEAM,Chun Li,78,84,19,88,9,83,12,77,9,88,18,100,4,76,13,75,4,57,19,93,15,90,11,71,21,70,10,75,16,100,7,70,24,55,9
Halibut,475,7912,USA,STEAM,Dictator,76,100,5,66,15,63,19,81,32,72,29,75,28,78,33,75,8,86,46,91,24,68,29,70,31,92,14,68,35,66,12,78,51,64,17
Lineni,276,7652,KOR,STEAM,Ken,73,100,1,63,11,78,23,53,13,33,6,90,11,68,22,71,7,82,17,88,17,72,18,58,31,87,16,85,14,75,16,73,42,90,11
Nyc3-Da-Gawd,442,8530,USA,PSN,R. Mika,78,83,6,85,21,70,34,86,15,71,28,66,15,72,25,90,10,69,33,86,46,74,43,73,56,93,29,78,19,80,10,81,37,100,15
ueMrPink,285,7443,USA,PSN,Ken,77,84,26,92,13,75,16,73,30,62,16,50,6,73,19,45,11,73,15,90,10,82,17,68,22,75,12,100,11,80,10,86,44,100,7
tactics,639,7978,USA,PSN,Claw,65,90,10,70,41,70,40,60,38,57,26,70,20,62,61,40,22,66,56,75,54,67,34,63,63,50,40,52,23,73,19,75,64,46,13
Stavanger1,250,7723,IRL,STEAM,Dictator,77,84,13,90,11,81,16,90,20,50,14,46,13,91,23,66,3,86,29,53,15,63,11,76,13,81,16,71,14,57,7,91,24,75,8
onigirikai,238,7283,JPN,PSN,Claw,75,100,4,100,7,78,19,94,18,75,4,72,11,83,12,37,8,93,16,58,24,72,18,81,16,66,9,70,20,69,13,70,24,73,15
Ev1lSky,335,7800,JPN,PSN,Nash,77,90,11,63,11,81,22,83,12,83,18,75,12,35,34,83,6,66,12,60,20,95,21,88,34,88,9,82,17,80,10,84,65,85,21
